SRH, Bhuvneshwar Kumar ,bowler,117,117,133,7.25,23.71,19.64,1,0,,,,,,,,,,I
SRH, Basil Thampi ,bowler,19,19,16,9.7,40.5,25.06,0,0,,,,,,,,,,I
SRH, Billy Stanlake ,bowler,6,6,7,8.33,28.57,20.57,0,0,,,,,,,,,,F
SRH, Sandeep Sharma ,bowler,79,79,95,7.81,23.92,18.37,0,0,,,,,,,,,,I
SRH, Shahbaz Nadeem ,bowler,64,62,42,7.48,37.38,29.98,0,0,,,,,,,,,,I
SRH, Siddarth Kaul ,bowler,45,45,49,8.47,28.27,20.02,0,0,,,,,,,,,,I
SRH, K Khaleel Ahmed ,bowler,10,10,19,8.59,17.11,11.95,0,0,,,,,,,,,,I
SRH, T Natarajan ,bowler,6,6,2,9.08,57.5,38,0,0,,,,,,,,,,I
SRH, Rashid Khan ,bowler,46,46,55,6.55,21.69,19.85,0,0,,,,,,,,,,F
CSK, MS Dhoni (Captain) (Keeper) ,wicketkeeper,190,170,4432,42.21,137.85,0,0,27,297,209,,,,,,,,I
DC, Rishabh Pant ,wicketkeeper,54,54,1736,36.17,162.7,1,0,15,152,94,,,,,,,,I
KX1P, Lokesh Rahul ,wicketkeeper,67,58,1977,42.06,138.16,1,0,20,176,81,,,,,,,,I
KX1P, Nicholas Pooran ,wicketkeeper,7,6,168,28,157.01,0,0,4,9,14,,,,,,,,F
KX1P, Simran Singh ,wicketkeeper,1,1,16,16,94.12,0,0,4,1,1,,,,,,,,I
KKR, Dinesh Karthik (Captain) (Keeper) ,wicketkeeper,182,163,3654,27.07,129.8,0,0,22,357,101,,,,,,,,I
MI, Quinton de Kock (Keeper) ,wicketkeeper,50,50,1456,30.33,131.29,1,0,14,155,54,,,,,,,,F
MI, Aditya Tare (Keeper) ,wicketkeeper,35,28,339,14.12,124.18,0,0,5,40,11,,,,,,,,I
MI, Ishan Kishan ,wicketkeeper,37,33,695,21.06,130.89,0,0,7,64,34,,,,,,,,I
RR, Jos Buttler ,wicketkeeper,45,45,1386,35.54,150.82,0,0,13,140,61,,,,,,,,F
RR, Sanju Samson ,wicketkeeper,93,89,2209,27.61,130.25,2,0,14,170,89,,,,,,,,I
RR, Robin Uthappa ,wicketkeeper,177,170,4411,28.83,130.5,0,0,28,435,156,,,,,,,,I
RCB, AB de Villiers ,wicketkeeper,154,142,4395,39.95,151.24,3,0,37,357,212,,,,,,,,F
RCB, Parthiv Patel (Keeper) ,wicketkeeper,139,137,2848,22.6,120.78,0,0,17,365,49,,,,,,,,I
SRH, Jonny Bairstow (Keeper) ,wicketkeeper,10,10,445,55.62,157.24,1,0,6,48,18,,,,,,,,F
SRH, Wriddhiman Saha (Keeper) ,wicketkeeper,120,95,1765,23.85,131.13,1,0,10,160,59,,,,,,,,I
SRH, Shreevats Goswami ,wicketkeeper,29,19,293,16.28,100.69,0,0,5,32,3,,,,,,,,I
